,name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
6722,10,0,1,3.8,73,166,357,58,1200.0,5004
6723,9,0,0,3.5,53,443,980,9,1800.0,5004
6724,16,0,1,3.8,108,473,357,776,1400.0,5004
6725,6,0,0,4.1,259,590,980,49,1200.0,5004
6726,13,0,1,4.2,258,590,980,13,1500.0,5004
6734,19,0,1,3.6,277,304,980,22,800.0,5004
6739,44,1,1,4.7,4657,332,40,34,1300.0,5004
6742,85,1,1,4.3,840,307,302,85,600.0,5004
6743,13,1,1,4.2,767,307,7293,8,700.0,5004
6744,16,1,1,3.8,818,307,980,1136,750.0,5004
6745,19,0,1,4.8,2882,821,7293,19,1600.0,5004
6746,6,0,1,4.9,2745,821,7293,6,1400.0,5004
6747,7,1,1,4.0,2807,821,980,7,1100.0,5004
6748,6,0,1,4.1,460,821,980,6,1000.0,5004
6749,3,0,0,4.1,450,821,7293,1136,1800.0,5004
6750,45,1,1,4.7,1512,821,7293,162,1700.0,5004
6751,4,0,1,4.0,345,681,980,4,1500.0,5004
6752,4,0,0,3.9,69,821,980,4,1200.0,5004
6753,3,0,1,4.1,821,821,311,3,2500.0,5004
6755,5,1,1,4.2,560,821,7293,5,1000.0,5004
6756,5,0,1,4.0,288,821,7293,5,1500.0,5004
6757,3,0,1,3.8,137,821,311,3,2000.0,5004
6758,5,0,1,3.5,185,821,7293,9,800.0,5004
6761,3,0,0,3.6,62,821,7293,3,1500.0,5004
6763,6,0,0,3.9,75,821,40,151,2000.0,5004
6765,5,0,0,3.8,118,821,7293,3,1900.0,5004
6767,8,0,0,2.8,161,821,980,45,1200.0,5004
6771,11,0,1,3.0,83,821,7293,359,1200.0,5004
6772,8,1,0,2.6,118,681,980,776,1200.0,5004
6773,5,0,0,2.9,51,821,7293,76,600.0,5004
6774,5,0,1,3.6,54,821,7293,24,1100.0,5004
6775,6,0,1,4.2,65,307,128,6,400.0,5004
